trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,violation state
277,False,"{'a': 0.7, 'e': 0.060084176812610968}",30,15,24.66268597456211,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
278,False,"{'a': 0.7, 'e': 0.059976014390406722}",30,0,40.24587932616423,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0,"[('left', 'green', None, 'left', 'forward')]"
279,False,"{'a': 0.7, 'e': 0.059868434008924963}",25,7,24.407293482968473,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
280,False,"{'a': 0.7, 'e': 0.059761430466719681}",20,0,34.0045981443507,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,[]
281,False,"{'a': 0.7, 'e': 0.059654998627189357}",30,18,23.206154874216676,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
282,False,"{'a': 0.7, 'e': 0.059549133417541367}",20,7,22.06084652757992,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
283,False,"{'a': 0.7, 'e': 0.0594438298277764}",25,3,19.518898636232052,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1,"[('forward', 'red', 'forward', None, 'right')]"
284,False,"{'a': 0.7, 'e': 0.059339082909692663}",25,9,26.80958920235267,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
285,False,"{'a': 0.7, 'e': 0.059234887775909233}",25,3,35.61346213080675,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
286,False,"{'a': 0.7, 'e': 0.059131239598908258}",30,14,25.773285027803563,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
287,False,"{'a': 0.7, 'e': 0.059028133610095526}",25,13,22.549327149236866,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
288,False,"{'a': 0.7, 'e': 0.058925565098878967}",25,0,38.45359423114263,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0,[]
289,False,"{'a': 0.7, 'e': 0.058823529411764705}",25,14,20.11759496414078,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,[]
